Attractions,Original Price,New Price with Discount
Belvedere-Schlossgarten,Free,Free
The Vienna Naschmarkt,Free,Free
Vienna Museum of Science & Technology,€18.00,"€14.40 (20% off)"
House of Music,€19.00,€15.00
Natural History Museum,€18.00,"€14.04 (22% off)"
Vienna State Opera,Varies,20% off Mozart Concerts
Upper Belvedere (Klimt),€19.50,€18.00
Aida Cafe Vienna,Menu dependent,No specific discount found
Children's Museum (Schönbrunn Palace),€8.50,€7.50
Prater (amusement park),Free entry (rides pay per ride),Exclusive package / 1+1 offers
ZOOM Kindermuseum,€5.00 - €7.00,Discount applies
Vorgartenmarkt,Free,Free
Brunnenmarkt,Free,Free
Tichy (ice cream),Menu dependent,No specific discount found
Pötzleinsdorfer Schlosspark,Free,Free
St. Stephen's Cathedral,Free (towers/catacombs vary),Discount applies to tours
Wiener Würstelstand,Menu dependent,No specific discount found
Café Pavillon (Schönbrunn Palace Park),Menu dependent,No specific discount found
Klimt Villa,€10.00 - €12.00,€9.50
Schönbrunn Zoo,€29.00,€25.00
Kunsthistorisches Museum Wien,€21.00,€20.00
Albertina,€19.90,"€17.91 (10% off)"
Wien Museum Karlsplatz,Free,Free
Karlsplatz,Free,Free
Die Glasfabrik,Varies (Shop),No specific discount found
Mythos Mozart,€23.00,€17.50
Danube Park,Free,Free
Votivkirche Light of creation,Free,Free
Spittelberg Neighborhood,Free,Free
Danube Tower,€19.90,"€15.92 (20% off)"
Lainzer Tiergarten,Free,Free
Hermes Villa,€8.00,€6.00
Figmuller restaurant/cafe,Menu dependent,No specific discount found
Heuriger,Menu dependent,No specific discount found
Gerstner Cafe,Menu dependent,No specific discount found
Time Travel Magic Vienna History Tour,€23.00,"€18.40 (€4.60 off)"
Retro Gaming Museum,€12.90,"€10.32 (20% off)"
Museum of Illusion,€19.00,Discount applies
